ID,site,country,lat,long,elev,IGBP,href
104,FR-LBr,France,44.7171,-0.7693,61,ENF,http://sites.fluxdata.org/FR-LBr/
105,FR-Pue,France,43.7414,3.5958,270,EBF,http://sites.fluxdata.org/FR-Pue/
106,GF-Guy,French Guyana,5.2788,-52.9249,48,EBF,http://sites.fluxdata.org/GF-Guy/
107,GH-Ank,Ghana,5.2685,-2.6942,124,EBF,http://sites.fluxdata.org/GH-Ank/
108,IT-BCi,Italy,40.5238,14.9574,20,CRO,http://sites.fluxdata.org/IT-BCi/
109,IT-CA1,Italy,42.3804,12.0266,200,DBF,http://sites.fluxdata.org/IT-CA1/
110,IT-CA2,Italy,42.3772,12.026,200,CRO,http://sites.fluxdata.org/IT-CA2/
111,IT-CA3,Italy,42.38,12.0222,197,DBF,http://sites.fluxdata.org/IT-CA3/
112,IT-Col,Italy,41.8494,13.5881,1560,DBF,http://sites.fluxdata.org/IT-Col/
113,IT-Cp2,Italy,41.7043,12.3573,19,EBF,http://sites.fluxdata.org/IT-Cp2/
114,IT-Cpz,Italy,41.7052,12.3761,68,EBF,http://sites.fluxdata.org/IT-Cpz/
115,IT-Isp,Italy,45.8126,8.6336,210,DBF,http://sites.fluxdata.org/IT-Isp/
116,IT-La2,Italy,45.9542,11.2853,1350,ENF,http://sites.fluxdata.org/IT-La2/
117,IT-Lav,Italy,45.9562,11.2813,1353,ENF,http://sites.fluxdata.org/IT-Lav/
118,IT-MBo,Italy,46.0147,11.0458,1550,GRA,http://sites.fluxdata.org/IT-MBo/
119,IT-Noe,Italy,40.6061,8.1515,28,CSH,http://sites.fluxdata.org/IT-Noe/
120,IT-PT1,Italy,45.2009,9.061,60,DBF,http://sites.fluxdata.org/IT-PT1/
121,IT-Ren,Italy,46.5869,11.4337,1730,ENF,http://sites.fluxdata.org/IT-Ren/
122,IT-Ro1,Italy,42.4081,11.93,235,DBF,http://sites.fluxdata.org/IT-Ro1/
123,IT-Ro2,Italy,42.3903,11.9209,160,DBF,http://sites.fluxdata.org/IT-Ro2/
124,IT-SR2,Italy,43.732,10.291,12,ENF,http://sites.fluxdata.org/IT-SR2/
125,IT-SRo,Italy,43.7279,10.2844,6,ENF,http://sites.fluxdata.org/IT-SRo/
126,IT-Tor,Italy,45.8444,7.5781,2160,GRA,http://sites.fluxdata.org/IT-Tor/
127,JP-MBF,Japan,44.3869,142.3186,,DBF,http://sites.fluxdata.org/JP-MBF/
128,JP-SMF,Japan,35.2617,137.0788,,MF,http://sites.fluxdata.org/JP-SMF/
129,MY-PSO,Malaysia,2.973,102.3062,,EBF,http://sites.fluxdata.org/MY-PSO/
130,NL-Hor,Netherlands,52.2404,5.0713,2.2,GRA,http://sites.fluxdata.org/NL-Hor/
131,NL-Loo,Netherlands,52.1666,5.7436,25,ENF,http://sites.fluxdata.org/NL-Loo/
132,NO-Adv,Norway,78.186,15.923,17,WET,http://sites.fluxdata.org/NO-Adv/
133,NO-Blv,Norway,78.9216,11.8311,25,SNO,http://sites.fluxdata.org/NO-Blv/
134,PA-SPn,Panama,9.3181,-79.6346,78,DBF,http://sites.fluxdata.org/PA-SPn/
135,PA-SPs,Panama,9.3138,-79.6314,68,GRA,http://sites.fluxdata.org/PA-SPs/
136,RU-Che,Russia,68.613,161.3414,4,WET,http://sites.fluxdata.org/RU-Che/
137,RU-Cok,Russia,70.8291,147.4943,48,OSH,http://sites.fluxdata.org/RU-Cok/
138,RU-Fyo,Russia,56.4615,32.9221,265,ENF,http://sites.fluxdata.org/RU-Fyo/
139,RU-Ha1,Russia,54.7252,90.0022,446,GRA,http://sites.fluxdata.org/RU-Ha1/
140,RU-Sam,Russia,72.3733,126.4978,,GRA,http://sites.fluxdata.org/RU-Sam/
141,RU-SkP,Russia,62.255,129.168,246,DNF,http://sites.fluxdata.org/RU-SkP/
142,RU-Tks,Russia,71.5943,128.8878,7,GRA,http://sites.fluxdata.org/RU-Tks/
143,RU-Vrk,Russia,67.0547,62.9405,100,CSH,http://sites.fluxdata.org/RU-Vrk/
144,SD-Dem,Sudan,13.2829,30.4783,500,SAV,http://sites.fluxdata.org/SD-Dem/
145,SE-St1,Sweden,68.3541,19.0503,351,WET,http://sites.fluxdata.org/SE-St1/
146,SN-Dhr,Senegal,15.4028,-15.4322,40,SAV,http://sites.fluxdata.org/SN-Dhr/
147,US-AR1,USA,36.4267,-99.42,611,GRA,http://sites.fluxdata.org/US-AR1/
148,US-AR2,USA,36.6358,-99.5975,646,GRA,http://sites.fluxdata.org/US-AR2/
149,US-ARb,USA,35.5497,-98.0402,424,GRA,http://sites.fluxdata.org/US-ARb/
150,US-ARc,USA,35.5465,-98.04,424,GRA,http://sites.fluxdata.org/US-ARc/
151,US-ARM,USA,36.6058,-97.4888,314,CRO,http://sites.fluxdata.org/US-ARM/
152,US-Atq,USA,70.4696,-157.4089,15,WET,http://sites.fluxdata.org/US-Atq/
153,US-Blo,USA,38.8953,-120.6328,1315,ENF,http://sites.fluxdata.org/US-Blo/
154,US-Cop,USA,38.09,-109.39,1520,GRA,http://sites.fluxdata.org/US-Cop/
155,US-CRT,USA,41.6285,-83.3471,180,CRO,http://sites.fluxdata.org/US-CRT/
156,US-GBT,USA,41.3658,-106.2397,3191,ENF,http://sites.fluxdata.org/US-GBT/
157,US-GLE,USA,41.3665,-106.2399,3197,ENF,http://sites.fluxdata.org/US-GLE/
158,US-Goo,USA,34.2547,-89.8735,87,GRA,http://sites.fluxdata.org/US-Goo/
159,US-Ha1,USA,42.5378,-72.1715,340,DBF,http://sites.fluxdata.org/US-Ha1/
160,US-IB2,USA,41.8406,-88.241,226.5,GRA,http://sites.fluxdata.org/US-IB2/
161,US-Ivo,USA,68.4865,-155.7503,568,WET,http://sites.fluxdata.org/US-Ivo/
162,US-KS1,USA,28.4583,-80.6709,1,ENF,http://sites.fluxdata.org/US-KS1/
163,US-KS2,USA,28.6086,-80.6715,3,CSH,http://sites.fluxdata.org/US-KS2/
164,US-Lin,USA,36.3566,-119.8423,131,CRO,http://sites.fluxdata.org/US-Lin/
165,US-Los,USA,46.0827,-89.9792,480,WET,http://sites.fluxdata.org/US-Los/
166,US-LWW,USA,34.9604,-97.9789,365,GRA,http://sites.fluxdata.org/US-LWW/
167,US-Me1,USA,44.5794,-121.5,896,ENF,http://sites.fluxdata.org/US-Me1/
168,US-Me2,USA,44.4523,-121.5574,1253,ENF,http://sites.fluxdata.org/US-Me2/
169,US-Me3,USA,44.3154,-121.6078,1005,ENF,http://sites.fluxdata.org/US-Me3/
170,US-Me4,USA,44.4992,-121.6224,922,ENF,http://sites.fluxdata.org/US-Me4/
171,US-Me5,USA,44.4372,-121.5668,1188,ENF,http://sites.fluxdata.org/US-Me5/
172,US-Me6,USA,44.3233,-121.6078,998,ENF,http://sites.fluxdata.org/US-Me6/
173,US-MMS,USA,39.3232,-86.4131,275,DBF,http://sites.fluxdata.org/US-MMS/
174,US-Myb,USA,38.0498,-121.7651,-1,WET,http://sites.fluxdata.org/US-Myb/
175,US-Ne1,USA,41.1651,-96.4766,361,CRO,http://sites.fluxdata.org/US-Ne1/
176,US-Ne2,USA,41.1649,-96.4701,362,CRO,http://sites.fluxdata.org/US-Ne2/
177,US-Ne3,USA,41.1797,-96.4397,363,CRO,http://sites.fluxdata.org/US-Ne3/
178,US-NR1,USA,40.0329,-105.5464,3050,ENF,http://sites.fluxdata.org/US-NR1/
179,US-Oho,USA,41.5545,-83.8438,230,DBF,http://sites.fluxdata.org/US-Oho/
180,US-ORv,USA,40.0201,-83.0183,221,WET,http://sites.fluxdata.org/US-ORv/
181,US-PFa,USA,45.9459,-90.2723,470,MF,http://sites.fluxdata.org/US-PFa/
182,US-Prr,USA,65.1237,-147.4876,210,ENF,http://sites.fluxdata.org/US-Prr/
183,US-SRC,USA,31.9083,-110.8395,991,OSH,http://sites.fluxdata.org/US-SRC/
184,US-SRG,USA,31.7894,-110.8277,1291,GRA,http://sites.fluxdata.org/US-SRG/
185,US-SRM,USA,31.8214,-110.8661,1120,WSA,http://sites.fluxdata.org/US-SRM/
186,US-Sta,USA,41.3966,-106.8024,2069,OSH,http://sites.fluxdata.org/US-Sta/
187,US-Syv,USA,46.242,-89.3477,540,MF,http://sites.fluxdata.org/US-Syv/
188,US-Ton,USA,38.4316,-120.966,177,WSA,http://sites.fluxdata.org/US-Ton/
189,US-Tw1,USA,38.1074,-121.6469,-9,WET,http://sites.fluxdata.org/US-Tw1/
190,US-Tw2,USA,38.1047,-121.6433,-5,CRO,http://sites.fluxdata.org/US-Tw2/
191,US-Tw3,USA,38.1159,-121.6467,-9,CRO,http://sites.fluxdata.org/US-Tw3/
192,US-Tw4,USA,38.103,-121.6414,-5,WET,http://sites.fluxdata.org/US-Tw4/
193,US-Twt,USA,38.1087,-121.653,,CRO,http://sites.fluxdata.org/US-Twt/
194,US-UMB,USA,45.5598,-84.7138,234,DBF,http://sites.fluxdata.org/US-UMB/
195,US-UMd,USA,45.5625,-84.6975,239,DBF,http://sites.fluxdata.org/US-UMd/
196,US-Var,USA,38.4133,-120.9507,129,GRA,http://sites.fluxdata.org/US-Var/
197,US-WCr,USA,45.8059,-90.0799,520,DBF,http://sites.fluxdata.org/US-WCr/
198,US-Whs,USA,31.7438,-110.0522,1370,OSH,http://sites.fluxdata.org/US-Whs/
199,US-Wi0,USA,46.6188,-91.0814,349,ENF,http://sites.fluxdata.org/US-Wi0/
200,US-Wi1,USA,46.7305,-91.2329,352,DBF,http://sites.fluxdata.org/US-Wi1/
201,US-Wi2,USA,46.6869,-91.1528,395,ENF,http://sites.fluxdata.org/US-Wi2/
202,US-Wi3,USA,46.6347,-91.0987,411,DBF,http://sites.fluxdata.org/US-Wi3/
203,US-Wi4,USA,46.7393,-91.1663,352,ENF,http://sites.fluxdata.org/US-Wi4/
204,US-Wi5,USA,46.6531,-91.0858,353,ENF,http://sites.fluxdata.org/US-Wi5/
205,US-Wi6,USA,46.6249,-91.2982,371,OSH,http://sites.fluxdata.org/US-Wi6/
206,US-Wi7,USA,46.6491,-91.0693,335,OSH,http://sites.fluxdata.org/US-Wi7/
207,US-Wi8,USA,46.7223,-91.2524,348,DBF,http://sites.fluxdata.org/US-Wi8/
208,US-Wi9,USA,46.6188,-91.0814,350,ENF,http://sites.fluxdata.org/US-Wi9/
209,US-Wkg,USA,31.7365,-109.9419,1531,GRA,http://sites.fluxdata.org/US-Wkg/
210,US-WPT,USA,41.4646,-82.9962,175,WET,http://sites.fluxdata.org/US-WPT/
211,ZA-Kru,South Africa,-25.0197,31.4969,359,SAV,http://sites.fluxdata.org/ZA-Kru/
212,ZM-Mon,Zambia,-15.4378,23.2528,1053,DBF,http://sites.fluxdata.org/ZM-Mon/
